measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Albania,Male,<1 year,Years,2007,73.98433748490986,74.67816397619316,73.3246088672175
Life expectancy,Albania,Female,<1 year,Years,2007,80.16540923015799,80.80959002104005,79.49499518634808
Life expectancy,Albania,Both,<1 year,Years,2007,76.91208936899216,77.42498267232968,76.3991191649814
Life expectancy,Bosnia and Herzegovina,Male,<1 year,Years,2007,72.81225389459226,72.9687618492937,72.66332302006526
Life expectancy,Bosnia and Herzegovina,Female,<1 year,Years,2007,78.45278315336573,78.61870811901994,78.28721348245313
Life expectancy,Bosnia and Herzegovina,Both,<1 year,Years,2007,75.64960175456113,75.7691336356428,75.53146632421672
Life expectancy,Bulgaria,Male,<1 year,Years,2007,69.49696705664158,69.6051706896672,69.38813833295822
Life expectancy,Bulgaria,Female,<1 year,Years,2007,76.6934835632478,76.81997698070617,76.57071310800622
Life expectancy,Bulgaria,Both,<1 year,Years,2007,73.02755005181535,73.11209876039001,72.94412691792597
Life expectancy,Croatia,Male,<1 year,Years,2007,72.30821125070149,72.44563591336853,72.17568517149451
Life expectancy,Croatia,Female,<1 year,Years,2007,79.09373236772001,79.2611641079452,78.92283312486258
Life expectancy,Croatia,Both,<1 year,Years,2007,75.7313010340242,75.84195177326433,75.61331690888177
Life expectancy,Czech Republic,Male,<1 year,Years,2007,73.79409552668955,73.88754715546119,73.70066688756415
Life expectancy,Czech Republic,Female,<1 year,Years,2007,80.18073900202829,80.29677444076135,80.06162118481397
Life expectancy,Czech Republic,Both,<1 year,Years,2007,77.02305896016159,77.09753840777266,76.94795645941771
Life expectancy,Hungary,Male,<1 year,Years,2007,69.32864374371593,69.42161793484111,69.23921339616382
Life expectancy,Hungary,Female,<1 year,Years,2007,77.5231341929442,77.63662387224512,77.41437905162425
Life expectancy,Hungary,Both,<1 year,Years,2007,73.4661817337902,73.54188558521349,73.39377784726744
Life expectancy,Macedonia,Male,<1 year,Years,2007,72.36290090465377,72.53775401705981,72.18016617508738
Life expectancy,Macedonia,Female,<1 year,Years,2007,77.70501745137412,77.91365906959743,77.47767908434702
Life expectancy,Macedonia,Both,<1 year,Years,2007,74.90572007950216,75.05417209155272,74.76501988142779
