measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Central Europe,Male,<1 year,Years,2007,70.95308370840498,70.98775071830413,70.92034029156585
Life expectancy,Central Europe,Female,<1 year,Years,2007,78.3654892725325,78.40447473582941,78.32724805470808
Life expectancy,Central Europe,Both,<1 year,Years,2007,74.63720087137429,74.66578735896586,74.60937402825462
Life expectancy,Eastern Europe,Male,<1 year,Years,2007,61.718880517763345,61.739614648886786,61.6992621868489
Life expectancy,Eastern Europe,Female,<1 year,Years,2007,74.0676746812301,74.08595485780272,74.04722116310745
Life expectancy,Eastern Europe,Both,<1 year,Years,2007,67.7396384693062,67.75493128051727,67.72321063716367
Life expectancy,Central Europe,Male,<1 year,Years,1998,68.38939043799338,68.42771455690794,68.35104296905743
Life expectancy,Central Europe,Female,<1 year,Years,1998,76.12838318949679,76.16836902826459,76.08630075843162
Life expectancy,Central Europe,Both,<1 year,Years,1998,72.20072926318487,72.23216487171062,72.16722602948623
Life expectancy,Eastern Europe,Male,<1 year,Years,1998,62.20883548471081,62.24097250869318,62.17605383001405
Life expectancy,Eastern Europe,Female,<1 year,Years,1998,73.70053293672945,73.73262678969442,73.66759526805502
Life expectancy,Eastern Europe,Both,<1 year,Years,1998,67.89710314006108,67.92107959095182,67.87231631817232
Life expectancy,Western Europe,Male,<1 year,Years,1998,74.9922464789735,75.00979896447106,74.97402532394716
Life expectancy,Western Europe,Female,<1 year,Years,1998,81.14021083574019,81.1614730065659,81.11994952216914
Life expectancy,Western Europe,Both,<1 year,Years,1998,78.1282675663182,78.14296271981848,78.11390093523569
Life expectancy,Western Europe,Male,<1 year,Years,2007,77.64658253478602,77.66403899455989,77.62815371366172
Life expectancy,Western Europe,Female,<1 year,Years,2007,83.07207610032437,83.09107503621951,83.05152542307616
Life expectancy,Western Europe,Both,<1 year,Years,2007,80.41716175129596,80.43067894063655,80.40271426221064
Life expectancy,Central Europe,Male,<1 year,Years,2016,73.4358069870793,73.49516095374102,73.37262598547026
Life expectancy,Central Europe,Female,<1 year,Years,2016,80.26392457681818,80.31508768543475,80.20902013770761
Life expectancy,Central Europe,Both,<1 year,Years,2016,76.84946527965916,76.89205537719205,76.80668334805459
Life expectancy,Eastern Europe,Male,<1 year,Years,2016,66.00400121903665,66.02772597359782,65.98120511167487
Life expectancy,Eastern Europe,Female,<1 year,Years,2016,76.92128507863313,76.9456411223205,76.89602469854631
Life expectancy,Eastern Europe,Both,<1 year,Years,2016,71.50913678106309,71.52721460737239,71.49029933481337
Life expectancy,Western Europe,Male,<1 year,Years,2016,79.41582554667927,79.55737120094105,79.26737491048735
Life expectancy,Western Europe,Female,<1 year,Years,2016,84.11910680245644,84.25631736012247,83.98042289402787
Life expectancy,Western Europe,Both,<1 year,Years,2016,81.80696736633327,81.90579615192938,81.70690894514355
Life expectancy,Central Europe,Male,<1 year,Years,1990,67.15477767031518,67.19273923554454,67.11731234992354
Life expectancy,Central Europe,Female,<1 year,Years,1990,74.91918185632274,74.95674121087096,74.88116876215122
Life expectancy,Central Europe,Both,<1 year,Years,1990,70.95747129046288,70.98599579598887,70.9287600907617
Life expectancy,Eastern Europe,Male,<1 year,Years,1990,64.5136694227164,64.57097328038643,64.451578537496
Life expectancy,Eastern Europe,Female,<1 year,Years,1990,74.63723382018594,74.68905801629805,74.5783508023158
Life expectancy,Eastern Europe,Both,<1 year,Years,1990,69.77345046530144,69.82151599777809,69.72207992168434
Life expectancy,Western Europe,Male,<1 year,Years,1990,72.98821118590588,73.00703673365413,72.96902243282315
Life expectancy,Western Europe,Female,<1 year,Years,1990,79.52633944105393,79.54653273540063,79.50407619166214
Life expectancy,Western Europe,Both,<1 year,Years,1990,76.3208997562536,76.33516942414047,76.305153584889
Life expectancy,Central Europe,Male,<1 year,Years,2000,69.32092717110754,69.36982833046682,69.2690574313321
Life expectancy,Central Europe,Female,<1 year,Years,2000,76.75113459543708,76.79718760699677,76.70337751560099
Life expectancy,Central Europe,Both,<1 year,Years,2000,73.00659914776928,73.04324943114909,72.9664543416779
Life expectancy,Eastern Europe,Male,<1 year,Years,2000,60.37736203034297,60.402955911011155,60.3510989562701
Life expectancy,Eastern Europe,Female,<1 year,Years,2000,72.95783017109643,72.98532133854529,72.9303351733875
Life expectancy,Eastern Europe,Both,<1 year,Years,2000,66.44868749579415,66.46839151683875,66.42818247102572
Life expectancy,Central Europe,Male,<1 year,Years,1993,67.2647429865917,67.35571524516722,67.17545448098092
Life expectancy,Central Europe,Female,<1 year,Years,1993,75.21871188178292,75.3094770624434,75.13467886891058
Life expectancy,Central Europe,Both,<1 year,Years,1993,71.15631143275394,71.22488072526792,71.09248195066981
Life expectancy,Eastern Europe,Male,<1 year,Years,1993,60.49617784412393,60.545769418617496,60.43940128155611
Life expectancy,Eastern Europe,Female,<1 year,Years,1993,72.63584464065579,72.68389941357182,72.58396982596088
Life expectancy,Eastern Europe,Both,<1 year,Years,1993,66.43908394581325,66.48201090457253,66.39226919846139
Life expectancy,Western Europe,Male,<1 year,Years,1993,73.60120359657877,73.61986510670224,73.58236687051881
Life expectancy,Western Europe,Female,<1 year,Years,1993,80.0881187191684,80.10902493901169,80.06720524137309
Life expectancy,Western Europe,Both,<1 year,Years,1993,76.90362503713835,76.91885785272297,76.88768398647268
Life expectancy,Central Europe,Male,<1 year,Years,2011,72.31051720401433,72.34983016705297,72.26825971830633
Life expectancy,Central Europe,Female,<1 year,Years,2011,79.4067486900427,79.44725550875752,79.36783104029985
Life expectancy,Central Europe,Both,<1 year,Years,2011,75.85499038872265,75.88382636372073,75.82243516682786
Life expectancy,Eastern Europe,Male,<1 year,Years,2011,64.72398272595056,64.74246433306566,64.7051317394368
Life expectancy,Eastern Europe,Female,<1 year,Years,2011,75.83151669081923,75.85087429178337,75.81223426491567
Life expectancy,Eastern Europe,Both,<1 year,Years,2011,70.302922561465,70.31788724575742,70.28793337537027
Life expectancy,Western Europe,Male,<1 year,Years,2011,78.6623162687804,78.68216865441424,78.64302733092258
Life expectancy,Western Europe,Female,<1 year,Years,2011,83.63055492400079,83.6515714508904,83.60898423109151
Life expectancy,Western Europe,Both,<1 year,Years,2011,81.19902682850405,81.2134750227999,81.18322430006171
