measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Russian Federation,Male,1 to 4,Years,2007,60.80222378128372,60.8265400858465,60.775065052513504
Life expectancy,Russian Federation,Female,1 to 4,Years,2007,73.44534921096266,73.4673641532448,73.4212379571527
Life expectancy,Russian Federation,Both,1 to 4,Years,2007,66.94534153715963,66.96597260938107,66.92457074634358
Life expectancy,Russian Federation,Male,5 to 9,Years,2007,56.9733229629386,56.98738446061719,56.95956427882614
Life expectancy,Russian Federation,Female,5 to 9,Years,2007,69.59913628671602,69.61412502878213,69.58388466787396
Life expectancy,Russian Federation,Both,5 to 9,Years,2007,63.11031310677272,63.120998024814824,63.09977952792251
Life expectancy,Russian Federation,Male,10 to 14,Years,2007,52.08369919081496,52.09759438107324,52.07004813864482
Life expectancy,Russian Federation,Female,10 to 14,Years,2007,64.6928305396698,64.7079497768133,64.67765901764244
Life expectancy,Russian Federation,Both,10 to 14,Years,2007,58.21449670083935,58.2250239325819,58.20397520598464
Life expectancy,Russian Federation,Male,15 to 19,Years,2007,47.19712015065158,47.21098163453521,47.183599946728364
Life expectancy,Russian Federation,Female,15 to 19,Years,2007,59.77665508775034,59.79183238047523,59.76157706284439
Life expectancy,Russian Federation,Both,15 to 19,Years,2007,53.316380274453756,53.326772199708735,53.305923582993536
Life expectancy,Russian Federation,Male,20 to 24,Years,2007,42.525959233546025,42.53941597710747,42.512760049583655
Life expectancy,Russian Federation,Female,20 to 24,Years,2007,54.95747251117921,54.972516414575786,54.94252068456874
Life expectancy,Russian Federation,Both,20 to 24,Years,2007,48.58565797382865,48.595922301824395,48.57526804895581
Life expectancy,Russian Federation,Male,25 to 29,Years,2007,38.17123298225132,38.184044994549346,38.15853779190128
Life expectancy,Russian Federation,Female,25 to 29,Years,2007,50.19433023632696,50.20916930532624,50.179617852863906
Life expectancy,Russian Federation,Both,25 to 29,Years,2007,44.06387405896374,44.07396343302656,44.05370380406543
Life expectancy,Russian Federation,Male,30 to 34,Years,2007,34.21291656329726,34.22511607464931,34.200843386968
Life expectancy,Russian Federation,Female,30 to 34,Years,2007,45.55507374932429,45.56966477643386,45.54075725014988
Life expectancy,Russian Federation,Both,30 to 34,Years,2007,39.8266758606414,39.83642244792696,39.816896903870784
Life expectancy,Russian Federation,Male,35 to 39,Years,2007,30.449228328466912,30.460777206255358,30.437854970927024
Life expectancy,Russian Federation,Female,35 to 39,Years,2007,40.99731823634981,41.011381707712644,40.983507165987184
Life expectancy,Russian Federation,Both,35 to 39,Years,2007,35.73706256962854,35.74641186458043,35.72765115695649
Life expectancy,Russian Federation,Male,40 to 44,Years,2007,26.709813272070924,26.720495692723564,26.69925425880806
